Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,3964,0,92,770.0101071392614,36.62110000004759,34418.660700001055,49.0,6.6249436097326155,0.0,92,180,280,390,850,1600,15000,22000,31000,34000,34000
GET,GET health,3791,0,59,265.01782321284037,33.755500000552274,13429.043099997216,25.0,6.335812619701399,0.0,59,96,130,160,420,910,2600,4400,11000,13000,13000
GET,GET home,11410,0,74,918.6585009290403,36.08489999896847,34485.535400002846,8560.0,19.0692751228681,0.0,74,140,230,340,880,2800,19000,24000,30000,33000,34000
GET,GET program detail,15022,1,93,844.8626772933239,36.503800001810305,37672.07359999884,817.3590733590734,25.105929088144133,0.0016712773990243733,93,200,420,620,1200,2400,14000,18000,31000,34000,38000
GET,GET program list,11523,0,140,985.1839317104457,42.05799999908777,34921.93560000305,6710.0,19.258129468957854,0.0,140,340,610,820,1400,2900,15000,19000,31000,35000,35000
GET,GET program list free,3831,0,150,953.4991985904908,42.307800002163276,36418.00820000208,4584.0,6.402663715662374,0.0,150,350,610,800,1300,2500,15000,19000,34000,36000,36000
GET,GET program list online,3889,0,140,979.797812882453,42.04819999722531,35559.92549999792,1761.0,6.499597804805788,0.0,140,330,580,760,1400,2700,16000,19000,32000,36000,36000
GET,GET program list public,3822,0,150,966.2088589220864,42.84349999943515,33610.826799995266,6710.0,6.3876222190711545,0.0,150,360,590,790,1400,3000,14000,19000,28000,34000,34000
GET,GET program list urgent,3950,0,150,1031.4759933165117,42.86359999969136,36340.43729999394,3902.0,6.601545726146274,0.0,150,340,610,810,1500,3100,16000,19000,34000,36000,36000
,Aggregated,61202,1,100,879.2713843992173,33.755500000552274,37672.07359999884,4134.254795594915,102.28551937508969,0.0016712773990243733,100,220,420,600,1200,2400,14000,20000,31000,35000,38000
