Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,2122,1484,60000,49180.38710000015,78.29750000382774,76748.28390000039,106.88360037700282,5.466202662900719,3.8227355097759976,60000,60000,61000,61000,64000,67000,68000,69000,70000,77000,77000
GET,GET health,2105,1530,60000,49341.199281900226,47.969400002330076,76732.62170000089,102.71971496437055,5.422411218381722,3.941230006709755,60000,60000,61000,61000,64000,67000,68000,69000,71000,77000,77000
GET,GET home,6294,4678,60000,50261.58848616126,62.34550000226591,76739.73839999962,2295.8160152526216,16.213138341327582,12.050375144698192,60000,61000,61000,62000,64000,67000,69000,69000,71000,77000,77000
GET,GET program detail,8230,6107,60000,50401.46072275797,70.15240000328049,76752.87759999628,308.63195625759414,21.200211081843975,15.73143245161861,60000,61000,61000,62000,64000,67000,68000,69000,71000,77000,77000
GET,GET program list,6142,4497,60000,50085.991460355166,121.02479999884963,76734.39669999789,1893.6746987951808,15.821591307981251,11.584125058937103,60000,60000,61000,62000,64000,67000,68000,69000,71000,77000,77000
GET,GET program list free,2061,1533,60000,50363.358610917065,172.8307000012137,76740.43769999844,1272.440562833576,5.309068656097258,3.948957908683696,60000,61000,61000,62000,64000,67000,68000,69000,71000,77000,77000
GET,GET program list online,2000,1498,60000,50963.339397199816,124.62889999733306,71555.67860000156,540.809,5.151934649293797,3.858799052321054,60000,61000,61000,62000,64000,67000,68000,69000,71000,72000,72000
GET,GET program list public,1988,1453,60000,50077.92643475864,100.54890000174055,76747.8323999967,1902.092555331992,5.121023041398034,3.742880522711944,60000,61000,61000,62000,64000,66000,68000,69000,77000,77000,77000
GET,GET program list urgent,2065,1519,60000,50632.00969951572,138.57509999797912,76767.89650000137,1128.7312348668281,5.3193725253958455,3.912894366138639,60000,60000,61000,62000,64000,67000,68000,69000,71000,77000,77000
,Aggregated,33007,24299,60000,50196.570540115565,47.969400002330076,76767.89650000137,1177.9379222589148,85.02495348462018,62.59343002159499,60000,60000,61000,62000,64000,67000,68000,69000,71000,77000,77000
