Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,5061,3,120,1420.928214522817,37.07350000331644,37490.04650000279,49.001185536455246,8.455608369492557,0.005012215986658303,120,330,730,1200,2600,4900,21000,25000,35000,37000,37000
GET,GET health,5223,0,82,770.1887590081785,34.96729999460513,30252.01289999677,25.0,8.726268032772106,0.0,82,200,360,490,1200,2400,9600,18000,28000,30000,30000
GET,GET home,15208,0,110,1388.94378506049,36.8741000056616,37038.13419999642,8560.0,25.40859357503316,0.0,110,310,590,930,2000,6300,21000,25000,34000,37000,37000
GET,GET program detail,20273,3,150,1691.847508656857,36.884100001771,41854.16619999887,817.3114487249051,33.87088489917459,0.005012215986658303,150,530,1300,1900,3600,6500,21000,28000,37000,40000,42000
GET,GET program list,15318,5,210,1737.6275797949718,42.84570000163512,44584.39409999846,6707.8339208774,25.592374827877297,0.008353693311097171,210,630,1500,2000,3700,6300,21000,27000,38000,44000,45000
GET,GET program list free,5128,0,220,1759.6528648011035,42.187599996395875,39498.661799996626,4584.0,8.567547859861259,0.0,220,630,1500,2000,3800,7100,21000,27000,37000,39000,39000
GET,GET program list online,5118,0,220,1739.2016081282095,42.47929999837652,38413.724099998944,1761.0,8.550840473239065,0.0,220,630,1400,1900,3700,6400,21000,28000,35000,38000,38000
GET,GET program list public,5120,1,240,1737.5452581054305,43.190900003537536,38879.682700004196,6708.70390625,8.554181950563503,0.0016707386622194344,240,670,1500,2000,3800,7000,20000,26000,36000,39000,39000
GET,GET program list urgent,5014,1,230,1847.0906267052655,42.45039999659639,40732.49009999563,3901.2365376944554,8.377083652368244,0.0016707386622194344,230,650,1500,2000,3800,7100,23000,29000,38000,41000,41000
,Aggregated,81463,13,160,1587.6551602617328,34.96729999460513,44584.39409999846,4128.35175478438,136.1033836403818,0.021719602608852646,160,470,1100,1600,3400,6200,21000,26000,37000,40000,45000
